Site_ID,Year,Plot,Horizon,Watershed,PerCentN,PerCentC
1987-6-125-Oie,1987,125,Oie,6,1.56,31.70
1987-6-125-Oa,1987,125,Oa,6,1.08,19.73
1987-6-126-Oie,1987,126,Oie,6,1.24,24.97
1987-6-126-Oa,1987,126,Oa,6,1.17,19.90
1987-6-127-Oie,1987,127,Oie,6,0.78,49.77
1987-6-127-Oa,1987,127,Oa,6,-88.88,-88.88
1987-6-128-Oie,1987,128,Oie,6,1.77,35.63
1987-6-128-Oa,1987,128,Oa,6,0.79,13.41
1987-6-130-Oie,1987,130,Oie,6,1.26,39.35
1987-6-130-Oa,1987,130,Oa,6,0.63,10.68
1987-6-132-Oie,1987,132,Oie,6,0.89,15.67
1987-6-132-Oa,1987,132,Oa,6,0.74,12.92
1987-6-136-Oie,1987,136,Oie,6,1.50,31.93
1987-6-136-Oa,1987,136,Oa,6,0.81,15.89
1987-6-145-Oie,1987,145,Oie,6,1.55,32.08
1987-6-145-Oa,1987,145,Oa,6,0.57,11.10
1987-6-147-Oie,1987,147,Oie,6,2.01,42.44
1987-6-147-Oa,1987,147,Oa,6,1.44,27.47
1987-6-151-Oie,1987,151,Oie,6,0.94,20.40
1987-6-151-Oa,1987,151,Oa,6,0.39,8.92
1987-6-152-Oie,1987,152,Oie,6,2.22,45.88
1987-6-152-Oa,1987,152,Oa,6,1.01,20.49
1987-6-153-Oie,1987,153,Oie,6,1.70,38.48
1987-6-153-Oa,1987,153,Oa,6,0.54,10.31
1987-6-157-Oie,1987,157,Oie,6,1.49,31.16
1987-6-157-Oa,1987,157,Oa,6,0.56,11.13
1987-6-164-Oie,1987,164,Oie,6,2.12,38.65
1987-6-164-Oa,1987,164,Oa,6,0.89,14.94
1987-6-166-Oie,1987,166,Oie,6,1.41,28.90
1987-6-166-Oa,1987,166,Oa,6,0.53,9.68
1987-6-168-Oie,1987,168,Oie,6,1.12,23.15
1987-6-168-Oa,1987,168,Oa,6,0.59,10.81
1987-6-169-Oie,1987,169,Oie,6,1.83,35.70
1987-6-169-Oa,1987,169,Oa,6,0.75,14.70
1987-6-170-Oie,1987,170,Oie,6,1.49,26.31
1987-6-170-Oa,1987,170,Oa,6,1.00,18.94
1987-6-172-Oie,1987,172,Oie,6,2.27,42.17
1987-6-172-Oa,1987,172,Oa,6,1.32,24.84
