SurveyYear,Plot,Samp_Date,Plot_down,Plot_Over
1982,50,1982-07-13,9,7
1982,53,1982-07-13,22,12
1982,59,1982-07-14,11,9
1982,62,1982-07-13,4,7
1982,64,1982-07-14,11,5
1982,67,1982-07-14,19,6
1982,71,1982-07-14,17,7
1982,76,1982-07-13,7,14
1982,78,1982-07-14,14,14
1982,81,1982-07-14,15,1
1982,86,1982-07-14,10,4
1982,88,1982-07-14,11,21
1982,92,1982-07-13,9,7
1982,97,1982-07-14,6,5
1982,101,1982-07-14,8,17
1982,105,1982-07-13,15,22
1982,107,1982-07-14,15,1
1982,110,1982-07-14,9,4
1982,114,1982-06-15,13,10
1982,115,1982-06-15,3,7
1982,117,1982-07-13,11,3
1982,120,1982-06-15,19,4
1982,123,1982-06-15,7,4
1982,130,1982-06-15,17,13
1982,131,1982-07-15,10,12
1982,135,1982-06-15,15,6
1982,139,1982-07-15,13,5
1982,141,1982-06-15,20,12
1982,147,1982-06-15,7,14
1982,150,1982-07-13,7,8
1982,152,1982-06-15,10,8
1982,154,1982-07-15,9,18
1982,157,1982-06-15,4,11
1982,161,1982-07-13,17,12
1982,163,1982-06-15,20,13
1982,165,1982-07-15,13,8
1982,169,1982-06-15,9,3
1982,171,1982-07-13,19,4
1982,174,1982-06-15,6,10
1982,176,1982-07-15,4,15
1982,179,1982-06-15,17,9
1982,182,1982-07-15,14,7
1982,184,1982-06-15,8,23
1982,186,1982-07-14,7,5
1982,189,1982-07-14,15,8
1982,192,1982-07-15,10,23
1982,194,1982-07-14,13,8
1982,196,1982-07-15,4,15
1982,200,1982-07-15,3,8
1982,203,1982-07-15,11,0
1982,207,1982-07-15,6,4
1987,1,1987-07-16,10,13
1987,2,1987-07-16,2,16
1987,4,1987-07-16,16,24
1987,8,1987-07-16,17,19
1987,13,1987-07-16,99,99
1987,17,1987-07-15,17,20
1987,18,1987-07-16,15,24
1987,24,1987-07-16,1,17
1987,27,1987-07-15,3,1
1987,32,1987-07-16,99,99
1987,36,1987-07-15,17,22
1987,39,1987-07-16,11,16
1987,45,1987-07-16,18,0
1987,46,1987-07-16,7,20
1987,49,1987-07-15,6,4
1987,52,1987-07-16,5,14
1987,57,1987-07-15,5,12
1987,64,1987-07-15,23,17
1987,77,1987-07-16,99,99
1987,82,1987-07-16,99,99
1987,84,1987-07-16,99,99
1987,85,1987-07-18,99,99
1987,86,1987-07-15,6,17
1987,87,1987-07-15,0,7
1987,97,1987-07-16,99,99
1987,99,1987-07-16,99,99
1987,104,1987-07-16,99,99
1987,107,1987-07-16,17,8
1987,111,1987-07-16,99,99
1987,112,1987-07-16,99,99
1987,114,1987-07-16,4,7
1987,116,1987-07-16,99,99
1987,119,1987-07-16,3,11
1987,120,1987-07-16,21,11
1987,122,1987-07-16,21,20
1987,123,1987-07-16,10,14
1987,125,1987-07-16,11,0
1987,126,1987-07-16,99,99
1987,127,1987-07-16,16,2
1987,128,1987-07-16,99,99
1987,130,1987-07-16,19,17
1987,132,1987-07-16,1,11
1987,136,1987-07-16,15,10
1987,145,1987-07-16,99,99
1987,147,1987-07-16,2,18
1987,151,1987-07-16,8,17
1987,152,1987-07-16,99,99
