Year,Mean,Sd,Min,Max,q05,q25,q50,q75,q95,Horizon
1980,506.05446211193123,19.007841629969715,441.53476876403744,536.2922361443572,472.3183099418967,492.14701850494055,507.6957742981783,520.8134496292838,534.3976892685569,oie
1980.5,503.09589207953854,16.621964933964794,443.95584368384357,527.61158701266,472.91129234212565,491.14761966353683,505.089094483198,516.3108795236534,526.6258981226418,oie
1981,499.49238251939073,14.41614335973211,445.5968132555206,519.1907981869319,472.7145048915337,489.3874786664135,501.7412578466307,511.036109534249,518.5022947523612,oie
1981.5,492.8630224635132,11.987962117280373,444.98891054671907,507.6886480477789,469.9843054564911,484.8186901116603,495.32134649093655,502.7143779238091,507.1769080170641,oie
1982,486.4941330136199,9.976552640573676,444.1299791294677,497.75893925918433,467.11522408076047,480.08800718650775,489.009376069709,494.75716340257316,497.5872750253021,oie
1982.5,479.1638660243647,8.215882421245581,442.2801375900125,487.58699582888096,462.77143355031797,474.2764106196333,481.5299234720039,485.92976462919006,487.4817191706546,oie
1983,471.9490161273177,6.88105226323599,440.1335545143223,478.34887809060575,457.9188474062205,468.4907786598408,474.27709259592075,477.50050254579844,478.309601924784,oie
1983.5,462.9344724614484,5.99164315093655,428.9696487028691,467.82939938314126,450.35392998844696,460.56766135792435,465.22418687910994,467.32464203868915,467.7855051478924,oie
1984,454.7908248701285,5.671402984411166,416.9500137589439,458.81417615615436,443.87905763613696,453.48460403035745,456.80391333809064,458.3629517292518,458.7905371781719,oie
1984.5,444.3372496960194,6.13741860710004,400.0893416403661,448.0540629027499,433.27429446962685,443.94321738166343,446.4892589545949,447.6356059997774,448.0285670345043,oie
1985,434.56033918597024,6.8668845196285275,386.3902759824189,438.47014304994246,421.1105205214878,434.39315600801353,436.87152602349386,438.15577196087975,438.44757347172464,oie
1985.5,424.42918159736683,7.803678688242687,372.81096941385107,428.97074736100313,408.1411702068114,423.9691228090258,427.3250268896048,428.59858461317816,428.95890715733526,oie
1986,415.00622949272497,8.61278447083388,361.7118082589565,420.4239596272248,396.55867061898056,414.0243445674089,418.333661482313,420.0677985944211,420.4046041534505,oie
1986.5,405.7292249057779,9.358668506176166,351.4902539596119,412.25061997763567,385.48674345438604,403.9934580016906,409.3152775845036,411.5816777880496,412.2314783075401,oie
