Year,Mean,Sd,Min,Max,q05,q25,q50,q75,q95,Horizon
2014,60.656142090589334,13.539831317656928,56.82089019058778,166.37115134107526,56.88694740068535,57.16898026335204,57.78775716169737,59.0957532541691,66.35475498458868,oie
2014.5,58.25704227471175,13.455051406238486,54.81097866815033,164.0466648054022,54.83536668417524,54.9670028360984,55.37679079740698,56.50761422357764,63.62064006894989,oie
2015,57.96041144567066,13.0265034196867,55.04546807727584,161.8401194120913,55.063436702764946,55.13558415353814,55.332106451030484,55.97670875043909,61.89597885676913,oie
2015.5,54.67699862615825,13.164821975575574,51.12229837974303,159.56924622988944,51.18288734848207,51.43914257935856,51.99362880405856,53.100647553967875,59.383910144985215,oie
2016,53.477821591199444,12.912833498617692,50.335520806767285,157.34938148075582,50.36908745319907,50.52110593607861,50.88427414897079,51.73933757451027,57.45608675150401,oie
2016.5,51.359572882461556,12.842076728493575,48.19875824667164,155.11371066613088,48.23356168226893,48.39080657807965,48.775907517517254,49.67869034676265,55.31961271631819,oie
2017,49.57781169060883,12.722444623083426,46.40184343661091,153.0680013529564,46.444207569036834,46.63219974133321,47.047899927130544,47.95062599927646,53.377019722141306,oie
2017.5,47.35054282843147,12.679968224305357,44.19666364254415,151.0911493474223,44.230645977383894,44.392667663192,44.799604950762856,45.747067088341254,51.23321500635735,oie
2018,45.898708098357815,12.5092325262149,42.888322875523684,149.13953670519086,42.92265552770763,43.07079920231149,43.42220265823981,44.2524767195891,49.417878035682534,oie
2018.5,43.561157207694635,12.506096451263899,40.355583478171475,147.1711304425034,40.40256217357937,40.60873841510898,41.072355771293424,42.05312552908036,47.358968573790186,oie
2019,41.79502994332041,12.400700550080437,38.66006576329983,145.21353785103176,38.7040741609056,38.89953491479709,39.337113569638205,40.27879676652118,45.46361231862028,oie
2019.5,38.74340023849428,12.534084790479545,35.20937077574282,143.22335059400214,35.27680972133683,35.57081649254168,36.20437503913199,37.45070682673479,43.14110099711339,oie
2020,36.80342120357906,12.444879422508013,33.55899874136847,141.24032926366658,33.600322529661526,33.79231885012746,34.2630471403228,35.3517270936714,41.003836215914696,oie
2020.5,34.1210413274288,12.498445490717165,30.796305035383,139.36477164997174,30.84051347107238,31.038359313033112,31.53814725805082,32.698217693080295,38.622357518448005,oie
2021,33.02585416820487,12.27432620492192,29.99005365560037,137.53625387261192,30.02765564083132,30.19355138120805,30.572265320550798,31.461254139627304,36.85045366687353,oie
2021.5,27.466130733724583,12.881060604753134,23.255871350049695,135.5942589924497,23.351896167661767,23.77756709422807,24.712520880132537,26.500214950520462,33.53352923621123,oie
2022,26.088548560177713,12.65019727394708,22.64383924696567,133.71189784617488,22.68638173931651,22.88753524493503,23.40476703121974,24.67071804814053,31.25739089843858,oie
2022.5,23.06133751001349,12.753113061578356,19.53966548357333,131.78178132182273,19.584548883254126,19.793415334301066,20.335491519273052,21.648445139202664,28.510642655760734,oie
2023,21.17347523543247,12.654840805547725,17.769496468816428,129.87551787957207,17.823299292634033,18.03773430076999,18.535524412503946,19.686775569256575,26.22580097598747,oie
2023.5,18.999546248238406,12.61029946935917,15.731578108910904,127.95367364875543,15.770499683900962,15.94466537529454,16.38268763103712,17.45313210238664,23.844638699903953,oie
2024,18.138042534250268,12.344596087455434,15.276660082836901,126.06821374384758,15.29980132641733,15.40480155824292,15.672466208484504,16.41419534005073,22.033541935600873,oie
2024.5,15.10085289844431,12.486969134746086,11.753243655285628,124.14151292001341,11.807228215324406,12.046822158098546,12.57573946134405,13.670855086370393,19.637779583416286,oie
2025,13.546171805675833,12.355112404041682,10.387898867598944,122.23958673628887,10.433277626007376,10.633450245151554,11.079427928048835,12.045228635995276,17.68293468613716,oie
1945.5,-15.416937017310625,2.0610667729447854,-57.59555457037169,-13.745599630432093,-17.141965026147414,-15.324136014696872,-15.012065143704845,-14.843400532043137,-14.753529614600824,oa
1946,-15.512170374885756,2.0529280698540093,-57.61148260682347,-13.844964057780906,-17.20846804372134,-15.420070080761905,-15.106152479455236,-14.94411955362618,-14.862215740734863,oa
1946.5,-15.607934187616307,2.0448869202423263,-57.62754352448673,-13.944877434249214,-17.297612893407923,-15.516591766287615,-15.196571392589842,-15.043714487784992,-14.962201152821336,oa
1947,-15.704646883936615,2.0369161170221357,-57.643769078344675,-14.045369626729087,-17.365783266382234,-15.613035445899065,-15.300524434906205,-15.141991053003983,-15.06179999786104,oa
1947.5,-15.802873083529382,2.028985035883826,-57.660200460154854,-14.146496503979812,-17.433895452879,-15.710181631860888,-15.398553851884266,-15.242551420726059,-15.162242878520761,oa
1948,-15.903021129366943,2.0210817394599228,-57.67688741587307,-14.24833418981597,-17.55824144351766,-15.809853853345436,-15.499953246892517,-15.345782689654476,-15.265535027163018,oa
1948.5,-16.00487384459179,2.0132375263494886,-57.69382977090998,-14.35093409809296,-17.629772629551265,-15.921328172880028,-15.602773508627378,-15.449953089297946,-15.370206108009409,oa
1949,-16.108101456819007,2.0054849918794595,-57.71100600294543,-14.454323903962397,-17.699179654266032,-16.030793492097793,-15.698815576776381,-15.556215292710647,-15.476208831899678,oa
1949.5,-16.21314054737963,1.99781588972945,-57.72844831971946,-14.558534567529868,-17.769564702527713,-16.148669753906773,-15.802058768353945,-15.664679254101033,-15.583554645213527,oa
