Year,Horizon,Delta14C,SOC_g_m2,DataSource,Elevation
2000,Mineral,0.3311617860002336,3040.6329171470757,Dataset1,Low
2000,Oi/Oe,186.99868184105873,1371.952705949853,Dataset1,Low
2000,Mineral,-42.50893466965999,1595.007124525645,Dataset1,Low
2002,Oi/Oe,99.26335541862996,1556.8490435140677,Dataset1,Low
2002,Mineral,-13.32617465633923,1754.0259617140027,Dataset1,Low
2002,Oi/Oe,153.02411073245014,1162.2576485545408,Dataset1,Low
2002,Oa/A,73.02890180892851,1083.3499847599576,Dataset1,Low
2002,Mineral,-7.562544696631979,2081.70114137486,Dataset1,Low
2002,Oi/Oe,190.3883325402067,1485.3703804714917,Dataset1,Low
2002,Oa/A,6.548411411616328,2638.1289254241037,Dataset1,Low
2002,Mineral,-30.219572814101593,1994.9635938175738,Dataset1,Low
