ID,ProjectName,Watershed,Season,Elevation,Year,Month,Plot,Horizon,DryWeight_g,Dried,DriedMethod,RootPicked,RootSize_mm,Archived_g,Weight_g_14C,Label_14C,Measured_%_C,Measured_%_N,F14C,al_pyr_mg_g,fe_pyr_mg_g,al_ox_mg_g,fe_ox_mg_g,al_dith_mg_g,fe_dith_mg_g,Plot_1_Horizons,Plot_1_HorizonLength,Plot_2_Horizon,Plot_2_HorizonLength,Plot_3_Horizon,Plot_3_HorizonLength,Plot_4_Horizon,Plot_4_HorizonLength,Plot_5_Horizon,Plot_5_HorizonLength,Plot_6_Horizon,Plot_6_HorizonLength,Notes,Delta14C,mean_BD_g_cm3,sd_BD_g_cm3,median_BD_g_cm3,mad_BD_g_cm3
HBB_026,HubbardBearBrook,W6,Summer,Low,2018,7,LT174,Mineral_0_10,27.91,Yes,DegreeC60_48h,Yes,<2,16.48,0.4995,#026,4.79,0.22,0.9656,1.986,5.165,2.49,6.488,2.09,6.11,NA,0,E,2,NA,0,E/B,5.5,NA,NA,NA,NA,NA,-42.31040702442468,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_027,HubbardBearBrook,W6,Summer,Low,2018,7,LT168,Mineral_0_10,14.95,Yes,DegreeC60_48h,Yes,<2,5.17,0.4967,#027,4.61,0.25,0.9845,0.819,0.739,1.486,4.053,1.08,2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.565239970532392,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_028,HubbardBearBrook,W6,Summer,Low,2018,7,LT162,Mineral_0_10,57.89,Yes,DegreeC60_48h,Yes,<2,42.89,0.4903,#028,5.56,0.23,0.9789,1.153,2.38,1.47,4.343,1.16,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.11936354205613,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_029,HubbardBearBrook,W6,Summer,Low,2018,7,LT168,Oi/Oe,12.32,Yes,DegreeC60_48h,Yes,all,5.54,0.4681,#029,37.74,2.2,1.0776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.77206440604789,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_030,HubbardBearBrook,W6,Summer,Low,2018,7,LT168,Oa/A,22.48,Yes,DegreeC60_48h,No,all,13.06,0.4775,#118,24.29,1.47,1.0738,2.1,2.38,2.254,3.16,2.04,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.003194839657,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_031,HubbardBearBrook,W6,Summer,Low,2020,7,LT172,Oi/Oe,16.6,Yes,DegreeC60_48h,No,all,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid,NA,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_032,HubbardBearBrook,W6,Summer,Low,2020,7,LT174,Oa/A,50.5,Yes,DegreeC60_48h,No,all,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_033,HubbardBearBrook,W6,Summer,Low,2020,7,LT162,Oi/Oe,24.01,Yes,DegreeC60_48h,No,all,24.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid,NA,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_034,HubbardBearBrook,W6,Summer,Low,2020,7,LT174,Mineral_0_10,70.46,Yes,DegreeC60_48h,No,<2,70.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_035,HubbardBearBrook,W6,Summer,Low,2020,7,LT174,Oi/Oe,24.61,Yes,DegreeC60_48h,No,all,24.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid,NA,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_036,HubbardBearBrook,W6,Summer,Low,2020,7,LT162,Mineral_0_10,65.67,Yes,DegreeC60_48h,No,<2,65.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_037,HubbardBearBrook,W6,Summer,Low,2020,7,LT172,Mineral_0_10,67.56,Yes,DegreeC60_48h,No,<2,67.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_038,HubbardBearBrook,W6,Summer,Low,2020,7,LT172,Oa/A,30.61,Yes,DegreeC60_48h,No,all,30.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_039,HubbardBearBrook,W6,Summer,Low,2020,7,LT162,Oa/A,42.05,Yes,DegreeC60_48h,No,all,42.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not planning to measure samples from 2020; too few samples due to Covid,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_041,HubbardBearBrook,W6,Summer,Low,2021,7,LT163,Oi/Oe,5.28,Yes,DegreeC60_48h,Yes,all,0,0.4795,#041,36.64,1.7,1.1028,NA,NA,NA,NA,NA,NA,Oi/Oe,1,Oi/Oe,3,Oi/Oe,5,Oi/Oe,5.5,Oi/Oe,4,NA,NA,grinded sample before containers were cleaned with count-free and sand,93.36875401433664,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_042,HubbardBearBrook,W6,Summer,Low,2021,7,LT163,Oa/A,59.6,Yes,DegreeC60_48h,Yes,all,49.37,0.4846,#131,17.21,0.81,1.0648,1.124,2.135,1.406,4.929,1.17,3.78,Oa,8,Oa,6,Oa,4,Oa,4,Oa,6,NA,NA,NA,55.69373347340001,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_043,HubbardBearBrook,W6,Summer,Low,2021,7,LT174,Oa/A,36.21,Yes,DegreeC60_48h,Yes,all,26.19,0.4515,#043,21.91,0.96,1.0162,1.2,1.25,1.292,2.82,1.15,2.28,A,3,Oa,3.5,A,0.5,Oa,4,NA,NA,NA,NA,NA,7.509365097360332,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_044,HubbardBearBrook,W6,Summer,Low,2021,7,LT162,Mineral_0_10,34.08,Yes,DegreeC60_48h,Yes,<2,23.74,0.4678,#044,4.54,0.23,0.9978,1.463,4.764,2.602,8.924,1.87,7.21,B,2,E,2,B,4.5,NA,0,NA,0,NA,0,NA,-10.733276427724814,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_045,HubbardBearBrook,W6,Summer,Low,2021,7,LT168,Oa/A,78.16,Yes,DegreeC60_48h,Yes,all,64.76,0.4586,#130,8.97,0.5,1.0553,1.949,8.687,2.446,11.658,2.05,10.15,A,6,A,6,Oa,3,NA,0,A,2,NA,NA,NA,46.274978338165965,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_046,HubbardBearBrook,W6,Summer,Low,2021,7,LT174,Mineral_0_10,128.46,Yes,DegreeC60_48h,Yes,<2,104.08,0.459,#046,3.37,0.19,0.9744,1.473,3.805,1.873,5.706,1.44,5.11,B,4,NA,0,E/B,10,E,3.5,NA,NA,NA,NA,NA,-33.933157497669896,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_047,HubbardBearBrook,W6,Summer,Low,2021,7,LT174,Oi/Oe,10.07,Yes,DegreeC60_48h,Yes,all,4.22,0.4657,#047,41.51,1.88,1.0853,NA,NA,NA,NA,NA,NA,Oi/Oe,3.5,Oi/Oe,4,Oi/Oe,2,Oi/Oe,7.5,NA,NA,NA,NA,NA,76.01841560732625,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_048,HubbardBearBrook,W6,Summer,Low,2021,7,LT168,Oi/Oe,21.64,Yes,DegreeC60_48h,Yes,all,14.53,0.4846,#048,17.15,0.91,1.0647,NA,NA,NA,NA,NA,NA,Oi/Oe,4,Oi/Oe,3,Oi/Oe,4.5,Oi/Oe,5,Oi/Oe,2,NA,NA,NA,55.59458868250289,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_049,HubbardBearBrook,W6,Summer,Low,2021,7,LT162,Oi/Oe,17.91,Yes,DegreeC60_48h,Yes,all,11.85,0.479,#049,40.81,1.93,1.0983,NA,NA,NA,NA,NA,NA,NA,6,Oi/Oe,7,Oi/Oe,5,Oi/Oe,5,Oi/Oe,3.5,Oi/Oe,5,NA,88.90723842396264,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_050,HubbardBearBrook,W6,Summer,Low,2021,7,LT172,Mineral_0_10,40.45,Yes,DegreeC60_48h,Yes,<2,26.2,0.5308,#050,6.24,0.32,1.0045,2.975,6.485,3.767,9.498,2.9,9.07,B,4,NA,0,NA,0,E,2,E,5.5,NA,NA,NA,-4.090575437612376,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_051,HubbardBearBrook,W6,Summer,Low,2021,7,LT172,Oi/Oe,12.35,Yes,DegreeC60_48h,Yes,all,6.53,0.4674,#051,40.8,2.12,1.0959,NA,NA,NA,NA,NA,NA,Oi/Oe,0.5,Oi/Oe,4,Oi/Oe,6,Oi/Oe,6,Oi/Oe,4,NA,NA,NA,86.52776344242974,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_052,HubbardBearBrook,W6,Summer,Low,2021,7,LT168,Mineral_0_10,100.46,Yes,DegreeC60_48h,Yes,<2,75.26,0.4781,#052,3.87,0.21,0.9913,2.272,9.628,3.585,13.363,2.47,12.22,B,4,E,4,E/B,8,NA,0,B,2,NA,NA,NA,-17.1776878360429,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_053,HubbardBearBrook,W6,Summer,Low,2021,7,LT172,Oa/A,59.71,Yes,DegreeC60_48h,Yes,all,NA,0.4546,#053,19.12,0.96,1.0245,3.805,4.355,4.188,5.914,3.53,5.81,Oa/A,8,Oa,6,Oa,6,Oa,7,Oa,3,NA,NA,NA,15.738382741827817,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_054,HubbardBearBrook,W6,Summer,Low,2021,7,LT162,Oa/A,39.34,Yes,DegreeC60_48h,Yes,all,28.69,0.5352,#124,17.22,0.85,1.0581,1.308,2.266,1.536,3.661,1.31,3.39,Oa,4,Oa,4,Oa,3,NA,0,A,3,Oa,4,NA,49.05103248328757,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
